t;v
1.845;11.36
1.850;11.36
1.855;11.35
1.860;11.36
1.865;11.36
1.870;11.35
1.875;11.35
1.880;11.35
1.885;11.33
1.890;11.36
1.895;11.35
1.900;11.35
1.905;11.35
1.910;11.35
1.915;11.36
1.920;11.35
1.925;11.36
1.930;11.35
1.935;11.35
1.940;11.33
1.945;11.36
1.950;11.32
1.955;11.33
1.960;11.35
1.965;11.33
1.970;11.36
1.975;11.36
1.980;11.36
1.985;11.36
1.990;11.33
1.995;11.35
2.000;11.35
2.005;11.35
2.010;11.36
2.015;11.33
2.020;11.35
2.025;11.35
2.030;11.33
2.035;11.32
2.040;11.36
2.045;11.35
2.050;11.33
2.055;11.33
2.060;11.36
2.065;11.35
2.070;11.35
2.075;11.35
2.080;11.33
2.085;11.35
2.090;11.35
2.095;11.33
2.100;11.33
2.105;11.33
2.110;11.33
2.115;11.35
2.120;11.32
2.125;11.33
2.130;11.33
2.135;11.36
2.140;11.35
2.145;11.36
2.150;11.35
2.155;11.35
2.160;11.35
2.165;11.38
2.170;11.36
2.175;11.35
2.180;11.36
2.185;11.33
2.190;11.33
2.195;11.35
2.200;11.32
2.205;11.33
2.210;11.33
2.215;11.33
2.220;11.30
2.225;11.33
2.230;11.33
2.235;11.35
2.240;11.35
2.245;11.32
2.250;11.32
2.255;11.35
2.260;11.35
2.265;11.35
2.270;11.33
2.275;11.33
2.280;11.35
2.285;11.35
2.290;11.35
2.295;11.33
2.300;11.33
2.305;11.33
2.310;11.35
2.315;11.33
2.320;11.36
2.325;11.36
2.330;11.35
2.335;11.36
2.340;11.35
2.345;11.35
2.350;11.35
2.355;11.32
2.360;11.32
2.365;11.33
2.370;11.35
2.375;11.35
2.380;11.35
2.385;11.35
2.390;11.33
2.395;11.32
2.400;11.33
2.405;11.36
2.410;11.35
2.415;11.33
2.420;11.32
2.425;11.33
2.430;11.33
2.435;11.33
2.440;11.33
2.445;11.35
2.450;11.33
2.455;11.33
2.460;11.33
2.465;11.33
2.470;11.35
2.475;11.35
2.480;11.33
2.485;11.36
2.490;11.35
2.495;11.35
2.500;11.35
2.505;11.33
2.510;11.36
2.515;11.33
2.520;11.33
2.525;11.35
2.530;11.36
2.535;11.33
2.540;11.35
2.545;11.35
2.550;11.36
2.555;11.35
2.560;11.33
2.565;11.35
2.570;11.33
2.575;11.33
2.580;11.35
2.585;11.33
2.590;11.36
2.595;11.35
2.600;11.35
2.605;11.35
2.610;11.33
2.615;11.35
2.620;11.35
2.625;11.35
2.630;11.35
2.635;11.35
2.640;11.35
2.645;11.33
2.650;11.35
2.655;11.35
2.660;11.36
2.665;11.35
2.670;11.33
2.675;11.36
2.680;11.33
2.685;11.35
2.690;11.35
2.695;11.35
2.700;11.35
2.705;11.33
2.710;11.35
2.715;11.35
2.720;11.33
2.725;11.33
2.730;11.33
2.735;11.35
2.740;11.35
2.745;11.35
2.750;11.32
2.755;11.33
2.760;11.35
2.765;11.32
2.770;11.33
2.775;11.35
2.780;11.35
2.785;11.35
2.790;11.33
2.795;11.33
2.800;11.35
2.805;11.38
2.810;11.33
2.815;11.35
2.820;11.35
2.825;11.36
2.830;11.35
2.835;11.36
2.840;11.35
2.845;11.33
2.850;11.35
2.855;11.35
2.860;11.36
2.865;11.35
2.870;11.35
2.875;11.33
2.880;11.36
2.885;11.33
2.890;11.33
2.895;11.33
2.900;11.36
2.905;11.36
2.910;11.36
2.915;11.35
2.920;11.35
2.925;11.35
2.930;11.35
2.935;11.35
2.940;11.35
2.945;11.38
2.950;11.38
2.955;11.36
2.960;11.36
2.965;11.33
2.970;11.36
2.975;11.35
2.980;11.38
2.985;11.36
2.990;11.36
2.995;11.35
3.000;11.36
3.005;11.35
3.010;11.35
3.015;11.35
3.020;11.33
3.025;11.33
3.030;11.35
3.035;11.35
3.040;11.35
3.045;11.35
3.050;11.35
3.055;11.35
3.060;11.35
3.065;11.35
3.070;11.33
3.075;11.35
3.080;11.35
3.085;11.35
3.090;11.36
3.095;11.35
3.100;11.35
3.105;11.35
3.110;11.36
3.115;11.36
3.120;11.36
3.125;11.35
3.130;11.35
3.135;11.35
3.140;11.35
3.145;11.36
3.150;11.36
3.155;11.35
3.160;11.33
3.165;11.35
3.170;11.35
3.175;11.33
3.180;11.35
3.185;11.35
3.190;11.35
3.195;11.35
3.200;11.35
3.205;11.33
3.210;11.35
3.215;11.36
3.220;11.35
3.225;11.35
3.230;11.35
3.235;11.33
3.240;11.35
3.245;11.35
3.250;11.35
3.255;11.35
3.260;11.35
3.265;11.35
3.270;11.35
3.275;11.36
3.280;11.33
3.285;11.33
3.290;11.35
3.295;11.35
3.300;11.33
3.305;11.33
3.310;11.35
3.315;11.33
3.320;11.33
3.325;11.35
3.330;11.35
3.335;11.33
3.340;11.33
3.345;11.35
3.350;11.35
3.355;11.33
3.360;11.33
3.365;11.35
3.370;11.36
3.375;11.35
3.380;11.35
3.385;11.36
3.390;11.33
3.395;11.35
3.400;11.36
3.405;11.36
3.410;11.36
3.415;11.36
3.420;11.36
3.425;11.36
3.430;11.35
3.435;11.35
3.440;11.35
3.445;11.35
3.450;11.35
3.455;11.36
3.460;11.32
3.465;11.33
3.470;11.36
3.475;11.35
3.480;11.35
3.485;11.35
3.490;11.35
3.495;11.35
3.500;11.35
3.505;11.33
3.510;11.35
3.515;11.33
3.520;11.36
3.525;11.35
3.530;11.35
3.535;11.33
3.540;11.32
3.545;11.33
3.550;11.36
3.555;11.35
3.560;11.35
3.565;11.33
3.570;11.33
3.575;11.35
3.580;11.33
3.585;11.35
3.590;11.33
3.595;11.35
3.600;11.35
3.605;11.35
3.610;11.33
3.615;11.33
3.620;11.33
3.625;11.33
3.630;11.33
3.635;11.33
3.640;11.35
3.645;11.35
3.650;11.32
3.655;11.32
3.660;11.32
3.665;11.32
3.670;11.33
3.675;11.33
3.680;11.33
3.685;11.35
3.690;11.36
3.695;11.35
3.700;11.33
3.705;11.33
3.710;11.33
3.715;11.33
3.720;11.33
3.725;11.33
3.730;11.36
3.735;11.35
3.740;11.35
3.745;11.35
3.750;11.33
3.755;11.35
3.760;11.33
3.765;11.33
3.770;11.33
3.775;11.33
3.780;11.35
3.785;11.32
3.790;11.33
3.795;11.33
3.800;11.33
3.805;11.33
3.810;11.33
3.815;11.30
3.820;11.32
3.825;11.32
3.830;11.32
3.835;11.32
3.840;11.33
3.845;11.32
3.850;11.33
3.855;11.33
3.860;11.33
3.865;11.32
3.870;11.33
3.875;11.33
3.880;11.35
3.885;11.33
3.890;11.32
3.895;11.33
3.900;11.33
3.905;11.33
3.910;11.36
3.915;11.33
3.920;11.35
3.925;11.30
3.930;11.33
3.935;11.32
3.940;11.33
3.945;11.32
3.950;11.33
3.955;11.36
3.960;11.35
3.965;11.33
3.970;11.35
3.975;11.33
3.980;11.33
3.985;11.35
3.990;11.35
3.995;11.35
4.000;11.35
4.005;11.33
4.010;11.33
4.015;11.33
4.020;11.32
4.025;11.33
4.030;11.32
4.035;11.33
4.040;11.33
4.045;11.35
4.050;11.33
4.055;11.36
4.060;11.35
4.065;11.32
4.070;11.33
4.075;11.35
4.080;11.35
4.085;11.35
4.090;11.33
4.095;11.32
4.100;11.33
4.105;11.33
4.110;11.33
4.115;11.35
4.120;11.32
4.125;11.33
4.130;11.30
4.135;11.33
4.140;11.35
4.145;11.36
4.150;11.35
4.155;11.33
4.160;11.35
4.165;11.35
4.170;11.36
4.175;11.35
4.180;11.32
4.185;11.35
4.190;11.33
4.195;11.33
4.200;11.33
4.205;11.35
4.210;11.33
4.215;11.35
4.220;11.35
4.225;11.35
4.230;11.33
4.235;11.35
4.240;11.35
4.245;11.35
4.250;11.35
4.255;11.30
4.260;11.33
4.265;11.33
4.270;11.33
4.275;11.33
