t;v
1.780;3.72
1.785;3.34
1.790;2.99
1.795;2.73
1.800;2.46
1.805;2.23
1.810;1.99
1.815;1.80
1.820;1.65
1.825;1.52
1.830;1.36
1.835;1.24
1.840;1.11
1.845;1.03
1.850;0.91
1.855;0.83
1.860;0.74
1.865;0.69
1.870;0.63
1.875;0.58
1.880;0.53
1.885;0.45
1.890;0.42
1.895;0.39
1.900;0.35
1.905;0.34
1.910;0.29
1.915;0.27
1.920;0.24
1.925;0.21
1.930;0.19
1.935;0.18
1.940;0.18
1.945;0.16
1.950;0.14
1.955;0.13
1.960;0.08
1.965;0.10
1.970;0.10
1.975;0.05
1.980;0.05
1.985;0.06
1.990;0.05
1.995;0.03
2.000;0.05
2.005;0.03
2.010;0.03
2.015;0.02
2.020;0.00
2.025;0.02
2.030;-0.03
2.035;-0.02
2.040;0.00
2.045;0.02
2.050;-0.02
2.055;-0.02
2.060;0.00
2.065;0.00
2.070;-0.02
2.075;0.00
2.080;-0.02
2.085;-0.03
2.090;-0.02
2.095;-0.03
2.100;-0.02
2.105;-0.05
2.110;-0.02
2.115;-0.02
2.120;-0.02
2.125;-0.05
2.130;-0.03
2.135;-0.03
2.140;-0.03
2.145;-0.03
2.150;-0.02
2.155;-0.03
2.160;-0.03
2.165;-0.02
2.170;-0.02
2.175;-0.03
2.180;0.00
2.185;-0.02
2.190;-0.02
2.195;-0.03
2.200;-0.03
2.205;-0.05
2.210;-0.03
2.215;-0.05
2.220;-0.05
2.225;-0.05
2.230;-0.05
2.235;-0.05
2.240;-0.03
2.245;-0.05
2.250;-0.05
2.255;-0.03
2.260;-0.03
2.265;-0.05
2.270;-0.05
2.275;-0.05
2.280;-0.05
2.285;-0.05
2.290;-0.05
2.295;-0.03
2.300;-0.05
2.305;-0.06
2.310;-0.05
2.315;-0.05
2.320;-0.05
2.325;-0.05
2.330;-0.05
2.335;-0.05
2.340;-0.06
2.345;-0.06
2.350;-0.06
2.355;-0.05
2.360;-0.03
2.365;-0.05
2.370;-0.03
2.375;-0.05
2.380;-0.06
2.385;-0.03
2.390;-0.06
2.395;-0.05
2.400;-0.06
2.405;-0.05
2.410;-0.05
2.415;-0.05
2.420;-0.03
2.425;-0.06
2.430;-0.05
2.435;-0.03
2.440;-0.06
2.445;-0.06
2.450;-0.05
2.455;-0.03
2.460;-0.05
2.465;-0.03
2.470;-0.05
2.475;-0.05
2.480;-0.05
2.485;-0.05
2.490;-0.05
2.495;-0.05
2.500;-0.06
2.505;-0.05
2.510;-0.06
2.515;-0.05
2.520;-0.06
2.525;-0.03
2.530;-0.05
2.535;-0.05
2.540;-0.06
2.545;-0.05
2.550;-0.06
2.555;-0.06
2.560;-0.05
2.565;-0.06
2.570;-0.05
2.575;-0.05
2.580;-0.06
2.585;-0.05
2.590;-0.06
2.595;-0.06
2.600;-0.05
2.605;-0.05
2.610;-0.06
2.615;-0.06
2.620;-0.05
2.625;-0.05
2.630;-0.06
2.635;-0.05
2.640;-0.05
2.645;-0.05
2.650;-0.05
2.655;-0.05
2.660;-0.05
2.665;-0.05
2.670;-0.05
2.675;-0.05
2.680;-0.05
2.685;-0.06
2.690;-0.06
2.695;-0.05
2.700;-0.05
2.705;-0.05
2.710;-0.05
2.715;-0.03
2.720;-0.06
2.725;-0.05
2.730;-0.05
2.735;-0.05
2.740;-0.05
2.745;-0.05
2.750;-0.05
2.755;-0.05
2.760;-0.06
2.765;-0.05
2.770;-0.05
2.775;-0.06
2.780;-0.06
2.785;-0.05
2.790;-0.06
2.795;-0.06
2.800;-0.06
2.805;-0.06
2.810;-0.06
2.815;-0.05
2.820;-0.05
2.825;-0.06
2.830;-0.05
2.835;-0.06
2.840;-0.06
2.845;-0.06
2.850;-0.06
2.855;-0.06
2.860;-0.06
2.865;-0.06
2.870;-0.06
2.875;-0.06
2.880;-0.05
2.885;-0.08
2.890;-0.06
2.895;-0.06
2.900;-0.06
2.905;-0.08
2.910;-0.05
2.915;-0.05
2.920;-0.06
2.925;-0.06
2.930;-0.06
2.935;-0.08
2.940;-0.08
2.945;-0.06
2.950;-0.05
2.955;-0.05
2.960;-0.05
2.965;-0.05
2.970;-0.08
2.975;-0.05
2.980;-0.06
2.985;-0.05
2.990;-0.05
2.995;-0.05
3.000;-0.05
3.005;-0.06
3.010;-0.05
3.015;-0.08
3.020;-0.08
3.025;-0.06
3.030;-0.06
3.035;-0.05
3.040;-0.06
3.045;-0.05
3.050;-0.06
3.055;-0.06
3.060;-0.06
3.065;-0.08
3.070;-0.05
3.075;-0.05
3.080;-0.06
3.085;-0.06
3.090;-0.05
3.095;-0.06
3.100;-0.05
3.105;-0.06
3.110;-0.05
3.115;-0.06
3.120;-0.06
3.125;-0.05
3.130;-0.05
3.135;-0.06
3.140;-0.05
3.145;-0.03
3.150;-0.05
3.155;-0.06
3.160;-0.06
3.165;-0.05
3.170;-0.05
3.175;-0.06
3.180;-0.06
3.185;-0.06
3.190;-0.06
3.195;-0.08
3.200;-0.08
3.205;-0.06
3.210;-0.06
3.215;-0.06
3.220;-0.06
3.225;-0.05
3.230;-0.06
3.235;-0.06
3.240;-0.08
3.245;-0.06
3.250;-0.06
3.255;-0.06
3.260;-0.08
3.265;-0.10
3.270;-0.06
3.275;-0.06
3.280;-0.08
3.285;-0.08
3.290;-0.06
3.295;-0.06
3.300;-0.06
3.305;-0.06
3.310;-0.08
3.315;-0.05
3.320;-0.08
3.325;-0.08
3.330;-0.06
3.335;-0.05
3.340;-0.06
3.345;-0.06
3.350;-0.06
3.355;-0.06
3.360;-0.05
3.365;-0.08
3.370;-0.06
3.375;-0.06
3.380;-0.06
3.385;-0.06
3.390;-0.06
3.395;-0.06
3.400;-0.06
3.405;-0.05
3.410;-0.08
3.415;-0.05
3.420;-0.05
3.425;-0.08
3.430;-0.08
3.435;-0.05
3.440;-0.05
3.445;-0.06
3.450;-0.06
3.455;-0.06
3.460;-0.06
3.465;-0.06
3.470;-0.06
3.475;-0.06
3.480;-0.06
3.485;-0.06
3.490;-0.06
3.495;-0.08
3.500;-0.06
3.505;-0.05
3.510;-0.06
3.515;-0.06
3.520;-0.08
3.525;-0.06
3.530;-0.06
3.535;-0.08
3.540;-0.08
3.545;-0.08
3.550;-0.06
3.555;-0.08
3.560;-0.08
3.565;-0.06
3.570;-0.08
3.575;-0.08
3.580;-0.08
3.585;-0.06
3.590;-0.06
3.595;-0.05
3.600;-0.06
3.605;-0.08
3.610;-0.06
3.615;-0.05
3.620;-0.05
3.625;-0.06
3.630;-0.06
3.635;-0.06
3.640;-0.08
3.645;-0.06
3.650;-0.06
3.655;-0.06
3.660;-0.06
3.665;-0.06
3.670;-0.08
3.675;-0.05
3.680;-0.06
3.685;-0.06
3.690;-0.05
3.695;-0.06
3.700;-0.05
3.705;-0.06
3.710;-0.05
3.715;-0.06
3.720;-0.06
3.725;-0.08
3.730;-0.08
3.735;-0.05
3.740;-0.08
3.745;-0.05
3.750;-0.06
3.755;-0.08
3.760;-0.06
3.765;-0.06
3.770;-0.08
3.775;-0.08
3.780;-0.06
3.785;-0.06
3.790;-0.08
3.795;-0.06
3.800;-0.08
3.805;-0.06
3.810;-0.06
3.815;-0.06
3.820;-0.05
3.825;-0.08
3.830;-0.06
3.835;-0.06
3.840;-0.05
3.845;-0.05
3.850;-0.03
3.855;-0.05
3.860;-0.05
3.865;-0.05
3.870;-0.05
3.875;-0.03
3.880;-0.06
3.885;-0.05
3.890;-0.05
3.895;-0.05
3.900;-0.03
3.905;-0.05
3.910;-0.03
3.915;-0.05
3.920;-0.06
3.925;-0.05
3.930;-0.05
3.935;-0.06
3.940;-0.06
3.945;-0.05
3.950;-0.03
3.955;-0.05
3.960;-0.05
3.965;-0.06
3.970;-0.06
3.975;-0.05
3.980;-0.03
3.985;-0.06
3.990;-0.06
3.995;-0.06
4.000;-0.06
4.005;-0.05
4.010;-0.05
4.015;-0.06
4.020;-0.06
4.025;-0.05
4.030;-0.08
4.035;-0.06
4.040;-0.08
4.045;-0.05
4.050;-1.03
4.055;-10.53
4.060;-9.61
4.065;-8.56
4.070;-7.66
4.075;-6.79
4.080;-6.18
4.085;-5.60
4.090;-5.06
4.095;-4.57
4.100;-4.16
4.105;-3.77
4.110;-3.39
4.115;-3.07
4.120;-2.81
4.125;-2.54
4.130;-2.30
4.135;-2.09
4.140;-1.91
4.145;-1.73
4.150;-1.57
4.155;-1.46
4.160;-1.32
4.165;-1.17
4.170;-1.11
4.175;-1.00
4.180;-0.93
4.185;-0.85
4.190;-0.80
4.195;-0.72
4.200;-0.67
4.205;-0.59
4.210;-0.55
4.215;-0.51
4.220;-0.48
4.225;-0.45
4.230;-0.40
4.235;-0.39
4.240;-0.35
4.245;-0.34
4.250;-0.30
4.255;-0.29
4.260;-0.29
4.265;-0.26
4.270;-0.24
4.275;-0.24
4.280;-0.22
4.285;-0.21
4.290;-0.21
4.295;-0.19
4.300;-0.18
4.305;-0.19
4.310;-0.19
4.315;-0.18
4.320;-0.16
4.325;-0.16
4.330;-0.14
4.335;-0.18
4.340;-0.16
4.345;-0.14
4.350;-0.14
4.355;-0.14
4.360;-0.13
4.365;-0.13
4.370;-0.11
4.375;-0.11
4.380;-0.13
4.385;-0.14
4.390;-0.13
4.395;-0.11
4.400;-0.11
4.405;-0.11
4.410;-0.10
4.415;-0.10
4.420;-0.10
4.425;-0.10
4.430;-0.10
4.435;-0.08
4.440;-0.08
4.445;-0.10
4.450;-0.10
4.455;-0.08
4.460;-0.10
4.465;-0.08
4.470;-0.08
4.475;-0.08
4.480;-0.08
4.485;-0.08
4.490;-0.08
4.495;-0.11
4.500;-0.10
4.505;-0.08
4.510;-0.10
4.515;-0.10
4.520;-0.08
4.525;-0.10
4.530;-0.11
4.535;-0.08
4.540;-0.10
4.545;-0.06
4.550;-0.08
4.555;-0.08
4.560;-0.08
4.565;-0.10
4.570;-0.08
4.575;-0.08
4.580;-0.08
4.585;-0.10
4.590;-0.06
4.595;-0.08
4.600;-0.08
4.605;-0.06
4.610;-0.06
4.615;-0.08
4.620;-0.08
4.625;-0.10
4.630;-0.08
4.635;-0.08
4.640;-0.06
4.645;-0.06
4.650;-0.06
4.655;-0.06
4.660;-0.10
4.665;-0.06
4.670;-0.10
4.675;-0.08
4.680;-0.06
4.685;-0.10
4.690;-0.08
4.695;-0.08
4.700;-0.08
4.705;-0.08
4.710;-0.06
4.715;-0.08
4.720;-0.06
4.725;-0.06
4.730;-0.06
4.735;-0.08
4.740;-0.06
4.745;-0.08
4.750;-0.06
4.755;-0.06
4.760;-0.08
4.765;-0.06
4.770;-0.06
4.775;-0.06
4.780;-0.08
4.785;-0.05
4.790;-0.05
4.795;-0.05
4.800;-0.06
4.805;-0.06
4.810;-0.05
4.815;-0.05
4.820;-0.06
4.825;-0.08
4.830;-0.05
4.835;-0.06
4.840;-0.05
4.845;-0.06
4.850;-0.06
4.855;-0.05
4.860;-0.06
4.865;-0.05
4.870;-0.06
4.875;-0.05
4.880;-0.06
4.885;-0.06
4.890;-0.05
4.895;-0.06
4.900;-0.08
4.905;-0.06
4.910;-0.06
4.915;-0.05
4.920;-0.06
4.925;-0.06
4.930;-0.06
4.935;-0.08
4.940;-0.06
4.945;-0.08
4.950;-0.06
4.955;-0.06
4.960;-0.06
4.965;-0.08
4.970;-0.06
4.975;-0.05
4.980;-0.06
4.985;-0.10
4.990;-0.06
4.995;-0.08
5.000;-0.08
5.005;-0.08
5.010;-0.08
5.015;-0.08
5.020;-0.06
5.025;-0.08
5.030;-0.06
5.035;-0.06
5.040;-0.08
5.045;-0.08
5.050;-0.06
5.055;-0.08
5.060;-0.08
5.065;-0.06
5.070;-0.08
5.075;-0.06
5.080;-0.08
5.085;-0.08
5.090;-0.10
5.095;-0.06
5.100;-0.05
5.105;-0.08
5.110;-0.05
5.115;-0.06
5.120;-0.08
5.125;-0.10
5.130;-0.08
5.135;-0.06
5.140;-0.06
5.145;-0.08
5.150;-0.06
5.155;-0.06
5.160;-0.10
5.165;-0.10
5.170;-0.10
5.175;-0.08
5.180;-0.10
5.185;-0.08
5.190;-0.08
5.195;-0.08
5.200;-0.06
5.205;-0.06
5.210;-0.08
5.215;-0.10
5.220;-0.08
5.225;-0.08
5.230;-0.06
5.235;-0.08
5.240;-0.08
5.245;-0.08
5.250;-0.08
5.255;-0.06
5.260;-0.06
5.265;-0.08
5.270;-0.06
5.275;-0.06
5.280;-0.05
5.285;-0.06
5.290;-0.06
5.295;-0.06
5.300;-0.06
5.305;-0.06
5.310;-0.06
5.315;-0.06
5.320;-0.06
5.325;-0.08
5.330;-0.10
5.335;-0.05
5.340;-0.06
5.345;-0.06
5.350;-0.08
5.355;-0.08
5.360;-0.06
5.365;-0.06
5.370;-0.06
5.375;-0.05
5.380;-0.06
5.385;-0.06
5.390;-0.08
5.395;-0.06
5.400;-0.06
5.405;-0.05
5.410;-0.06
5.415;-0.08
5.420;-0.08
5.425;-0.08
5.430;-0.06
5.435;-0.06
5.440;-0.08
5.445;-0.08
5.450;-0.08
5.455;-0.08
5.460;-0.08
5.465;-0.06
5.470;-0.06
5.475;-0.08
5.480;-0.05
5.485;-0.06
5.490;-0.06
5.495;-0.05
5.500;-0.06
5.505;-0.06
5.510;-0.06
5.515;-0.06
5.520;-0.08
5.525;-0.06
5.530;-0.08
5.535;-0.08
5.540;-0.08
5.545;-0.05
5.550;-0.06
5.555;-0.06
5.560;-0.05
5.565;-0.08
5.570;-0.06
5.575;-0.08
5.580;-0.08
5.585;-0.08
5.590;-0.10
5.595;-0.06
5.600;-0.08
5.605;-0.08
5.610;-0.06
5.615;-0.06
5.620;-0.06
5.625;-0.08
5.630;-0.06
5.635;-0.05
5.640;-0.06
5.645;-0.06
5.650;-0.06
5.655;-0.06
5.660;-0.06
5.665;-0.06
5.670;-0.06
5.675;-0.08
5.680;-0.08
5.685;-0.06
5.690;-0.06
5.695;-0.06
5.700;-0.08
5.705;-0.06
5.710;-0.06
5.715;-0.06
5.720;-0.08
5.725;-0.06
5.730;-0.06
5.735;-0.03
5.740;-0.05
5.745;-0.06
5.750;-0.05
5.755;-0.06
5.760;-0.05
5.765;-0.05
5.770;-0.06
5.775;-0.06
5.780;-0.06
5.785;-0.06
5.790;-0.06
5.795;-0.06
5.800;-0.05
5.805;-0.05
5.810;-0.05
5.815;-0.05
5.820;-0.05
5.825;-0.05
5.830;-0.05
5.835;-0.06
5.840;-0.06
5.845;-0.06
5.850;-0.08
5.855;-0.06
5.860;-0.06
5.865;-0.06
5.870;-0.06
5.875;-0.05
5.880;-0.06
5.885;-0.08
5.890;-0.08
5.895;-0.08
5.900;-0.06
5.905;-0.06
5.910;-0.08
5.915;-0.08
5.920;-0.06
5.925;-0.06
5.930;-0.08
5.935;-0.08
5.940;-0.05
5.945;-0.06
5.950;-0.10
5.955;-0.08
5.960;-0.06
5.965;-0.08
5.970;-0.08
5.975;-0.06
5.980;-0.06
5.985;-0.06
5.990;-0.05
5.995;-0.05
6.000;-0.06
6.005;-0.06
6.010;-0.05
6.015;-0.06
6.020;-0.06
6.025;-0.08
6.030;-0.08
6.035;-0.06
6.040;-0.10
6.045;-0.06
6.050;-0.08
6.055;-0.06
6.060;-0.06
6.065;-0.06
6.070;-0.08
6.075;-0.10
6.080;-0.10
6.085;-0.08
6.090;-0.08
6.095;-0.06
6.100;-0.08
6.105;-0.06
6.110;-0.10
6.115;-0.08
6.120;-0.05
6.125;-0.06
6.130;-0.06
6.135;-0.06
6.140;-0.05
6.145;-0.05
6.150;-0.06
6.155;-0.08
6.160;-0.06
6.165;-0.06
6.170;-0.06
6.175;-0.06
6.180;-0.08
6.185;-0.06
6.190;-0.06
6.195;-0.06
6.200;-0.05
6.205;-0.05
6.210;-0.06
6.215;-0.06
6.220;-0.06
6.225;-0.06
6.230;-0.05
6.235;-0.06
6.240;-0.08
6.245;-0.06
6.250;-0.08
6.255;8.54
6.260;9.66
6.265;8.65
6.270;7.75
6.275;6.95
