t;v
0.000;-0.06
0.005;-0.05
0.010;-0.03
0.015;-0.06
0.020;-0.05
0.025;-0.05
0.030;-0.05
0.035;-0.05
0.040;-0.06
0.045;-0.06
0.050;-0.08
0.055;-0.06
0.060;-0.06
0.065;-0.05
0.070;-0.05
0.075;-0.05
0.080;-0.05
0.085;-0.05
0.090;-0.06
0.095;-0.03
0.100;-0.06
0.105;-0.05
0.110;-0.05
0.115;-0.05
0.120;-0.05
0.125;-0.05
0.130;-0.06
0.135;-0.05
0.140;-0.05
0.145;-0.05
0.150;-0.06
0.155;-0.05
0.160;-0.06
0.165;-0.03
0.170;-0.05
0.175;-0.06
0.180;-0.05
0.185;-0.06
0.190;-0.06
0.195;-0.06
0.200;-0.06
0.205;-0.06
0.210;-0.06
0.215;-0.06
0.220;-0.06
0.225;-0.05
0.230;-0.06
0.235;-0.06
0.240;-0.06
0.245;-0.05
0.250;-0.06
0.255;-0.05
0.260;-0.05
0.265;-0.05
0.270;-0.05
0.275;-0.06
0.280;-0.08
0.285;-0.06
0.290;-0.06
0.295;-0.06
0.300;-0.06
0.305;-0.06
0.310;-0.06
0.315;-0.06
0.320;-0.05
0.325;-0.06
0.330;-0.06
0.335;-0.05
0.340;-0.06
0.345;-0.06
0.350;-0.05
0.355;-0.06
0.360;-0.06
0.365;-0.06
0.370;-0.08
0.375;-0.06
0.380;-0.08
0.385;-0.06
0.390;-0.05
0.395;-0.05
0.400;-0.08
0.405;-0.06
0.410;-0.08
0.415;-0.06
0.420;-0.06
0.425;-0.05
0.430;-0.06
0.435;-0.05
0.440;-0.06
0.445;-0.06
0.450;-0.06
0.455;-0.05
0.460;-0.05
0.465;-0.05
0.470;-0.05
0.475;-0.05
0.480;-0.06
0.485;-0.05
0.490;-0.05
0.495;-0.05
0.500;-0.05
0.505;-0.05
0.510;-0.05
0.515;-0.06
0.520;-0.05
0.525;-0.06
0.530;-0.05
0.535;-0.05
0.540;-0.06
0.545;-0.08
0.550;-0.06
0.555;-0.05
0.560;-0.06
0.565;-0.05
0.570;-0.06
0.575;-0.05
0.580;-0.05
0.585;-0.05
0.590;-0.05
0.595;-0.08
0.600;-0.05
0.605;-0.06
0.610;-0.06
0.615;-0.06
0.620;-0.06
0.625;-0.05
0.630;-0.06
0.635;-0.06
0.640;-0.06
0.645;-0.05
0.650;-0.05
0.655;-0.05
0.660;-0.05
0.665;-0.05
0.670;-0.05
0.675;-0.05
0.680;-0.05
0.685;-0.08
0.690;-0.05
0.695;-0.06
0.700;-0.05
0.705;-0.05
0.710;-0.05
0.715;-0.05
0.720;-0.05
0.725;-0.05
0.730;-0.05
0.735;-0.05
0.740;-0.05
0.745;-0.05
0.750;-0.05
0.755;-0.06
0.760;-0.05
0.765;-0.05
0.770;-0.06
0.775;-0.06
0.780;-0.06
0.785;-0.05
0.790;-0.05
0.795;-0.05
0.800;-0.05
0.805;-0.05
0.810;-0.05
0.815;-0.06
0.820;-0.06
0.825;-0.06
0.830;-0.06
0.835;-0.05
0.840;-0.06
0.845;-0.05
0.850;-0.05
0.855;-0.05
0.860;-0.06
0.865;-0.06
0.870;-0.10
0.875;-0.06
0.880;-0.05
0.885;-0.05
0.890;-0.05
0.895;-0.05
0.900;-0.05
0.905;-0.05
0.910;-0.06
0.915;-0.06
0.920;-0.06
0.925;-0.06
0.930;-0.06
0.935;-0.10
0.940;-0.08
0.945;-0.06
0.950;-0.06
0.955;-0.06
0.960;-0.05
0.965;-0.06
0.970;-0.06
0.975;-0.06
0.980;-0.05
0.985;-0.05
0.990;-0.05
0.995;-0.05
1.000;-0.06
1.005;-0.06
1.010;-0.06
1.015;-0.06
1.020;-0.06
1.025;-0.05
1.030;-0.05
1.035;-0.06
1.040;-0.06
1.045;-0.06
1.050;-0.08
1.055;-0.06
1.060;-0.05
1.065;-0.05
1.070;-0.05
1.075;-0.06
1.080;-0.05
1.085;-0.05
1.090;-0.05
1.095;-0.06
1.100;-0.05
1.105;-0.05
1.110;-0.06
1.115;-0.05
1.120;-0.06
1.125;-0.06
1.130;-0.05
1.135;-0.05
1.140;-0.06
1.145;-0.08
1.150;-0.05
1.155;-0.05
1.160;-0.06
1.165;-0.05
1.170;-0.05
1.175;-0.03
1.180;-0.06
1.185;-0.05
1.190;-0.06
1.195;-0.05
1.200;-0.08
1.205;-0.06
1.210;-0.06
1.215;-0.08
1.220;-0.06
1.225;-0.08
1.230;-0.06
1.235;-0.06
1.240;-0.06
1.245;-0.06
1.250;-0.06
1.255;-0.06
1.260;-0.06
1.265;-0.08
1.270;-0.08
1.275;-0.06
1.280;-0.06
1.285;-0.06
1.290;-0.06
1.295;-0.08
1.300;-0.06
1.305;-0.06
1.310;-0.06
1.315;-0.06
1.320;-0.05
1.325;-0.06
1.330;-0.08
1.335;-0.05
1.340;-0.08
1.345;-0.08
1.350;-0.05
1.355;-0.06
1.360;-0.05
1.365;-0.05
1.370;-0.06
1.375;-0.05
1.380;-0.05
1.385;-0.05
1.390;-0.05
1.395;-0.06
1.400;-0.06
1.405;-0.06
1.410;-0.05
1.415;-0.06
1.420;-0.06
1.425;-0.06
1.430;-0.05
1.435;-0.05
1.440;-0.06
1.445;-0.06
1.450;-0.06
1.455;-0.05
1.460;-0.05
1.465;-0.05
1.470;-0.06
1.475;-0.03
1.480;-0.05
1.485;-0.05
1.490;-0.06
1.495;-0.05
1.500;-0.06
1.505;-0.06
1.510;-0.05
1.515;-0.05
1.520;-0.05
1.525;-0.05
1.530;-0.06
